Name,API,Most Followed Acount Followers
Jim Carrey,"twurl ""/1.1/users/search.json?count=1&q=Jim Carrey"" | jq '.[] | .followers_count'$'\n' >> output.log",18411484
Mark Wahlberg,"twurl ""/1.1/users/search.json?count=1&q=Mark Wahlberg"" | jq '.[] | .followers_count'$'\n' >> output.log",3841062
Steve Martin,"twurl ""/1.1/users/search.json?count=1&q=Steve Martin"" | jq '.[] | .followers_count'$'\n' >> output.log",8828933
Javier Bardem,"twurl ""/1.1/users/search.json?count=1&q=Javier Bardem"" | jq '.[] | .followers_count'$'\n' >> output.log",15064
Tim Robbins,"twurl ""/1.1/users/search.json?count=1&q=Tim Robbins"" | jq '.[] | .followers_count'$'\n' >> output.log",30629
Arnold Schwarzenegger,"twurl ""/1.1/users/search.json?count=1&q=Arnold Schwarzenegger"" | jq '.[] | .followers_count'$'\n' >> output.log",4453709
Sylvester Stallone,"twurl ""/1.1/users/search.json?count=1&q=Sylvester Stallone"" | jq '.[] | .followers_count'$'\n' >> output.log",2803549
Viggo Mortensen,"twurl ""/1.1/users/search.json?count=1&q=Viggo Mortensen"" | jq '.[] | .followers_count'$'\n' >> output.log",13353
Hugo Weaving,"twurl ""/1.1/users/search.json?count=1&q=Hugo Weaving"" | jq '.[] | .followers_count'$'\n' >> output.log",2734
Christopher Lee,"twurl ""/1.1/users/search.json?count=1&q=Christopher Lee"" | jq '.[] | .followers_count'$'\n' >> output.log",16593
Geoffrey Rush,"twurl ""/1.1/users/search.json?count=1&q=Geoffrey Rush"" | jq '.[] | .followers_count'$'\n' >> output.log",618
Alec Guinness,"twurl ""/1.1/users/search.json?count=1&q=Alec Guinness"" | jq '.[] | .followers_count'$'\n' >> output.log",269
Richard Burton,"twurl ""/1.1/users/search.json?count=1&q=Richard Burton"" | jq '.[] | .followers_count'$'\n' >> output.log",9573
Alec Baldwin,"twurl ""/1.1/users/search.json?count=1&q=Alec Baldwin"" | jq '.[] | .followers_count'$'\n' >> output.log",259884
James Caan,"twurl ""/1.1/users/search.json?count=1&q=James Caan"" | jq '.[] | .followers_count'$'\n' >> output.log",176801
Michael Douglas,"twurl ""/1.1/users/search.json?count=1&q=Michael Douglas"" | jq '.[] | .followers_count'$'\n' >> output.log",462140
Ben Stiller,"twurl ""/1.1/users/search.json?count=1&q=Ben Stiller"" | jq '.[] | .followers_count'$'\n' >> output.log",6072048
Willem Dafoe,"twurl ""/1.1/users/search.json?count=1&q=Willem Dafoe"" | jq '.[] | .followers_count'$'\n' >> output.log",466722
Ed Harris,"twurl ""/1.1/users/search.json?count=1&q=Ed Harris"" | jq '.[] | .followers_count'$'\n' >> output.log",2022
Harvey Keitel,"twurl ""/1.1/users/search.json?count=1&q=Harvey Keitel"" | jq '.[] | .followers_count'$'\n' >> output.log",736
Drew Barrymore,"twurl ""/1.1/users/search.json?count=1&q=Drew Barrymore"" | jq '.[] | .followers_count'$'\n' >> output.log",481385
Winona Ryder,"twurl ""/1.1/users/search.json?count=1&q=Winona Ryder"" | jq '.[] | .followers_count'$'\n' >> output.log",3883
Kathleen Turner,"twurl ""/1.1/users/search.json?count=1&q=Kathleen Turner"" | jq '.[] | .followers_count'$'\n' >> output.log",1343
Uma Thurman,"twurl ""/1.1/users/search.json?count=1&q=Uma Thurman"" | jq '.[] | .followers_count'$'\n' >> output.log",10722
Hattie McDaniel,"twurl ""/1.1/users/search.json?count=1&q=Hattie McDaniel"" | jq '.[] | .followers_count'$'\n' >> output.log",2349
Rene Russo,"twurl ""/1.1/users/search.json?count=1&q=Rene Russo"" | jq '.[] | .followers_count'$'\n' >> output.log",44182
Annette Bening,"twurl ""/1.1/users/search.json?count=1&q=Annette Bening"" | jq '.[] | .followers_count'$'\n' >> output.log",4333
